districtId,state,event,alerts_total
100,AL,Coastal Flood,23
100,AL,Dense Fog,128
100,AL,Excessive Heat,2
100,AL,Flash Flood,118
100,AL,Flood Advisory,97
100,AL,Flood Warning,1348
100,AL,Flood Watch,22
100,AL,Freeze Warning,57
100,AL,Freeze Watch,11
100,AL,Freezing Fog,13
100,AL,Frost Advisory,8
100,AL,Heat Advisory,30
100,AL,High Surf,66
100,AL,Rip Current,305
100,AL,Severe Thunderstorm,511
100,AL,Severe Weather,503
100,AL,Tornado Warning,258
100,AL,Tornado Watch,108
100,AL,Wind Advisory,101
100,AL,Winter Storm,12
100,AL,Winter Weather,11
101,AL,Dense Fog,4
101,AL,Excessive Heat,2
101,AL,Flash Flood,34
101,AL,Flood Advisory,41
101,AL,Flood Warning,16
101,AL,Heat Advisory,28
101,AL,Severe Thunderstorm,51
101,AL,Severe Weather,30
101,AL,Tornado Warning,7
101,AL,Tornado Watch,1
102,AL,Dense Fog,14
102,AL,Excessive Heat,7
102,AL,Flash Flood,1
102,AL,Flood Advisory,25
102,AL,Flood Statement,1
102,AL,Flood Warning,2
102,AL,Heat Advisory,70
102,AL,Severe Thunderstorm,57
102,AL,Severe Weather,29
102,AL,Tornado Warning,1
103,AL,Dense Fog,9
103,AL,Excessive Heat,5
103,AL,Flash Flood,3
103,AL,Flood Advisory,29
103,AL,Flood Statement,1
103,AL,Heat Advisory,39
103,AL,Severe Thunderstorm,67
103,AL,Severe Weather,43
104,AL,Dense Fog,12
104,AL,Excessive Heat,10
104,AL,Flash Flood,32
104,AL,Flood Advisory,25
104,AL,Flood Statement,1
104,AL,Flood Warning,21
104,AL,Heat Advisory,62
104,AL,Severe Thunderstorm,168
104,AL,Severe Weather,105
105,AL,Dense Fog,6
105,AL,Excessive Heat,5
105,AL,Flash Flood,32
105,AL,Flood Advisory,2
105,AL,Flood Warning,16
105,AL,Heat Advisory,27
105,AL,Severe Thunderstorm,89
105,AL,Severe Weather,56
106,AL,Dense Fog,7
106,AL,Excessive Heat,5
106,AL,Flash Flood,4
106,AL,Flood Advisory,18
106,AL,Heat Advisory,34
106,AL,Severe Thunderstorm,45
106,AL,Severe Weather,24
107,AL,Dense Fog,13
107,AL,Excessive Heat,7
107,AL,Flash Flood,14
107,AL,Flood Advisory,51
107,AL,Flood Statement,2
107,AL,Flood Warning,5
107,AL,Heat Advisory,70
107,AL,Severe Thunderstorm,67
107,AL,Severe Weather,38
200,AK,Ashfall Advisory,2
200,AK,Blizzard Warning,102
200,AK,Coastal Flood,37
200,AK,Dense Fog,164
200,AK,Dense Smoke,88
200,AK,Fire Weather,11
200,AK,Flood Advisory,62
200,AK,Flood Statement,5
200,AK,Flood Warning,23
200,AK,Flood Watch,38
200,AK,Frost Advisory,4
200,AK,High Surf,52
200,AK,High Wind,177
200,AK,Red Flag,59
200,AK,Severe Thunderstorm,12
200,AK,Severe Weather,7
200,AK,Special Weather,483
200,AK,Tsunami Warning,3
200,AK,Wind Advisory,169
200,AK,Wind Chill,124
200,AK,Winter Storm,394
200,AK,Winter Weather,873
400,AZ,Blowing Dust,12
400,AZ,Dense Fog,25
400,AZ,Dust Advisory,1
400,AZ,Excessive Heat,212
400,AZ,Fire Weather,21
400,AZ,Flash Flood,42
400,AZ,Flood Watch,19
400,AZ,Freeze Warning,57
400,AZ,Freeze Watch,29
400,AZ,Hard Freeze,85
400,AZ,Heat Advisory,7
400,AZ,High Wind,17
400,AZ,Lake Wind,46
400,AZ,Red Flag,101
400,AZ,Special Weather,731
400,AZ,Wind Advisory,212
400,AZ,Winter Storm,119
400,AZ,Winter Weather,196
401,AZ,Dust Advisory,30
401,AZ,Dust Storm,31
401,AZ,Flash Flood,352
401,AZ,Flood Advisory,329
401,AZ,Flood Statement,5
401,AZ,Flood Warning,56
401,AZ,Severe Thunderstorm,403
401,AZ,Severe Weather,258
401,AZ,Snow Squall,3
401,AZ,Tornado Warning,4
402,AZ,Dust Advisory,10
402,AZ,Dust Storm,4
402,AZ,Flash Flood,79
402,AZ,Flood Advisory,131
402,AZ,Flood Statement,8
402,AZ,Flood Warning,8
402,AZ,Severe Thunderstorm,211
402,AZ,Severe Weather,132
402,AZ,Tornado Warning,2
403,AZ,Blowing Dust,2
403,AZ,Dense Fog,6
403,AZ,Dust Advisory,37
403,AZ,Dust Storm,30
403,AZ,Excessive Heat,89
403,AZ,Flash Flood,157
403,AZ,Flood Advisory,213
403,AZ,Flood Statement,6
403,AZ,Flood Warning,17
403,AZ,Freeze Watch,1
403,AZ,Severe Thunderstorm,305
403,AZ,Severe Weather,197
403,AZ,Tornado Warning,2
403,AZ,Wind Advisory,7
404,AZ,Blowing Dust,2
404,AZ,Dense Fog,6
404,AZ,Dust Advisory,36
404,AZ,Dust Storm,35
404,AZ,Excessive Heat,89
404,AZ,Flash Flood,320
404,AZ,Flood Advisory,264
404,AZ,Flood Statement,3
404,AZ,Flood Warning,44
404,AZ,Freeze Watch,1
404,AZ,Severe Thunderstorm,253
404,AZ,Severe Weather,151
404,AZ,Wind Advisory,7
405,AZ,Dust Advisory,24
405,AZ,Dust Storm,14
405,AZ,Flash Flood,63
405,AZ,Flood Advisory,74
405,AZ,Flood Statement,1
405,AZ,Flood Warning,9
405,AZ,Severe Thunderstorm,78
405,AZ,Severe Weather,46
406,AZ,Dust Advisory,24
406,AZ,Dust Storm,14
406,AZ,Flash Flood,63
406,AZ,Flood Advisory,74
406,AZ,Flood Statement,1
406,AZ,Flood Warning,9
406,AZ,Severe Thunderstorm,78
406,AZ,Severe Weather,46
407,AZ,Dust Advisory,24
407,AZ,Dust Storm,14
407,AZ,Flash Flood,63
407,AZ,Flood Advisory,74
407,AZ,Flood Statement,1
407,AZ,Flood Warning,9
407,AZ,Severe Thunderstorm,78
407,AZ,Severe Weather,46
408,AZ,Dust Advisory,24
408,AZ,Dust Storm,14
408,AZ,Flash Flood,63
408,AZ,Flood Advisory,74
408,AZ,Flood Statement,1
408,AZ,Flood Warning,9
408,AZ,Severe Thunderstorm,78
408,AZ,Severe Weather,46
409,AZ,Dust Advisory,24
409,AZ,Dust Storm,14
409,AZ,Flash Flood,63
409,AZ,Flood Advisory,74
409,AZ,Flood Statement,1
409,AZ,Flood Warning,9
409,AZ,Severe Thunderstorm,78
409,AZ,Severe Weather,46
500,AR,Flood Advisory,1
501,AR,Dense Fog,96
501,AR,Excessive Heat,42
501,AR,Flash Flood,251
501,AR,Flood Advisory,305
501,AR,Flood Statement,4
501,AR,Flood Warning,2161
501,AR,Flood Watch,16
501,AR,Freeze Warning,37
501,AR,Freeze Watch,9
501,AR,Freezing Fog,5
501,AR,Frost Advisory,19
501,AR,Heat Advisory,168
501,AR,Ice Storm,1
501,AR,Severe Thunderstorm,461
501,AR,Severe Weather,281
501,AR,Tornado Warning,52
501,AR,Tornado Watch,39
501,AR,Wind Advisory,98
501,AR,Wind Chill,3
501,AR,Winter Storm,2
501,AR,Winter Weather,55
502,AR,Dense Fog,24
502,AR,Excessive Heat,13
502,AR,Flash Flood,90
502,AR,Flood Advisory,16
502,AR,Flood Statement,4
502,AR,Flood Warning,719
502,AR,Flood Watch,9
502,AR,Freeze Warning,6
502,AR,Freeze Watch,4
502,AR,Frost Advisory,6
502,AR,Heat Advisory,49
502,AR,Severe Thunderstorm,173
502,AR,Severe Weather,103
502,AR,Tornado Warning,11
502,AR,Tornado Watch,13
502,AR,Wind Advisory,17
502,AR,Winter Weather,13
503,AR,Dense Fog,37
503,AR,Excessive Heat,33
503,AR,Flash Flood,130
503,AR,Flood Advisory,71
503,AR,Flood Statement,2
503,AR,Flood Warning,253
503,AR,Flood Watch,5
