districtId,state,event,alerts_total,region
100,Alabama,Coastal Flood,23,South
100,Alabama,Dense Fog,128,South
100,Alabama,Excessive Heat,2,South
100,Alabama,Flash Flood,118,South
100,Alabama,Flood Advisory,97,South
100,Alabama,Flood Warning,1348,South
100,Alabama,Flood Watch,22,South
100,Alabama,Freeze Warning,57,South
100,Alabama,Freeze Watch,11,South
100,Alabama,Freezing Fog,13,South
100,Alabama,Frost Advisory,8,South
100,Alabama,Heat Advisory,30,South
100,Alabama,High Surf,66,South
100,Alabama,Rip Current,305,South
100,Alabama,Severe Thunderstorm,511,South
100,Alabama,Severe Weather,503,South
100,Alabama,Tornado Warning,258,South
100,Alabama,Tornado Watch,108,South
100,Alabama,Wind Advisory,101,South
100,Alabama,Winter Storm,12,South
100,Alabama,Winter Weather,11,South
101,Alabama,Dense Fog,4,South
101,Alabama,Excessive Heat,2,South
101,Alabama,Flash Flood,34,South
101,Alabama,Flood Advisory,41,South
101,Alabama,Flood Warning,16,South
101,Alabama,Heat Advisory,28,South
101,Alabama,Severe Thunderstorm,51,South
101,Alabama,Severe Weather,30,South
101,Alabama,Tornado Warning,7,South
101,Alabama,Tornado Watch,1,South
102,Alabama,Dense Fog,14,South
102,Alabama,Excessive Heat,7,South
102,Alabama,Flash Flood,1,South
102,Alabama,Flood Advisory,25,South
102,Alabama,Flood Statement,1,South
102,Alabama,Flood Warning,2,South
102,Alabama,Heat Advisory,70,South
102,Alabama,Severe Thunderstorm,57,South
102,Alabama,Severe Weather,29,South
102,Alabama,Tornado Warning,1,South
103,Alabama,Dense Fog,9,South
103,Alabama,Excessive Heat,5,South
103,Alabama,Flash Flood,3,South
103,Alabama,Flood Advisory,29,South
103,Alabama,Flood Statement,1,South
103,Alabama,Heat Advisory,39,South
103,Alabama,Severe Thunderstorm,67,South
103,Alabama,Severe Weather,43,South
104,Alabama,Dense Fog,12,South
104,Alabama,Excessive Heat,10,South
104,Alabama,Flash Flood,32,South
104,Alabama,Flood Advisory,25,South
104,Alabama,Flood Statement,1,South
104,Alabama,Flood Warning,21,South
104,Alabama,Heat Advisory,62,South
104,Alabama,Severe Thunderstorm,168,South
104,Alabama,Severe Weather,105,South
105,Alabama,Dense Fog,6,South
105,Alabama,Excessive Heat,5,South
105,Alabama,Flash Flood,32,South
105,Alabama,Flood Advisory,2,South
105,Alabama,Flood Warning,16,South
105,Alabama,Heat Advisory,27,South
